Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,040078,2023,01,01,29.2
IDCJAC0016,040078,2023,01,02,26.7
IDCJAC0016,040078,2023,01,03,28.6
IDCJAC0016,040078,2023,01,04,30.5
IDCJAC0016,040078,2023,01,05,9.4
IDCJAC0016,040078,2023,01,06,23.4
IDCJAC0016,040078,2023,01,07,23.5
IDCJAC0016,040078,2023,01,08,29.9
IDCJAC0016,040078,2023,01,09,16.7
IDCJAC0016,040078,2023,01,10,28.0
IDCJAC0016,040078,2023,01,11,23.2
IDCJAC0016,040078,2023,01,12,20.4
IDCJAC0016,040078,2023,01,13,18.5
IDCJAC0016,040078,2023,01,14,11.8
IDCJAC0016,040078,2023,01,15,14.4
IDCJAC0016,040078,2023,01,16,9.1
IDCJAC0016,040078,2023,01,17,9.2
IDCJAC0016,040078,2023,01,18,28.0
IDCJAC0016,040078,2023,01,19,29.8
IDCJAC0016,040078,2023,01,20,15.9
IDCJAC0016,040078,2023,01,21,22.8
IDCJAC0016,040078,2023,01,22,21.5
IDCJAC0016,040078,2023,01,23,28.9
IDCJAC0016,040078,2023,01,24,29.4
IDCJAC0016,040078,2023,01,25,27.9
IDCJAC0016,040078,2023,01,26,27.9
IDCJAC0016,040078,2023,01,27,11.8
IDCJAC0016,040078,2023,01,28,27.1
IDCJAC0016,040078,2023,01,29,28.5
IDCJAC0016,040078,2023,01,30,25.2
IDCJAC0016,040078,2023,01,31,25.7
IDCJAC0016,040078,2023,02,01,18.2
IDCJAC0016,040078,2023,02,02,16.9
IDCJAC0016,040078,2023,02,03,24.1
IDCJAC0016,040078,2023,02,04,11.9
IDCJAC0016,040078,2023,02,05,15.1
IDCJAC0016,040078,2023,02,06,23.2
IDCJAC0016,040078,2023,02,07,25.3
IDCJAC0016,040078,2023,02,08,22.0
IDCJAC0016,040078,2023,02,09,17.5
IDCJAC0016,040078,2023,02,10,25.0
IDCJAC0016,040078,2023,02,11,28.7
IDCJAC0016,040078,2023,02,12,27.7
IDCJAC0016,040078,2023,02,13,28.5
IDCJAC0016,040078,2023,02,14,14.1
IDCJAC0016,040078,2023,02,15,22.5
IDCJAC0016,040078,2023,02,16,26.6
IDCJAC0016,040078,2023,02,17,26.1
IDCJAC0016,040078,2023,02,18,26.5
IDCJAC0016,040078,2023,02,19,24.1
IDCJAC0016,040078,2023,02,20,13.7
IDCJAC0016,040078,2023,02,21,12.8
IDCJAC0016,040078,2023,02,22,24.8
IDCJAC0016,040078,2023,02,23,14.3
IDCJAC0016,040078,2023,02,24,21.0
IDCJAC0016,040078,2023,02,25,22.7
IDCJAC0016,040078,2023,02,26,25.0
IDCJAC0016,040078,2023,02,27,26.1
