Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,040913,2023,01,01,28.4,1,N
IDCJAC0010,040913,2023,01,02,29.0,1,N
IDCJAC0010,040913,2023,01,03,31.8,1,N
IDCJAC0010,040913,2023,01,04,31.9,1,N
IDCJAC0010,040913,2023,01,05,27.5,1,N
IDCJAC0010,040913,2023,01,06,29.2,1,N
IDCJAC0010,040913,2023,01,07,29.3,1,N
IDCJAC0010,040913,2023,01,08,29.5,1,N
IDCJAC0010,040913,2023,01,09,29.6,1,N
IDCJAC0010,040913,2023,01,10,30.3,1,N
IDCJAC0010,040913,2023,01,11,29.4,1,N
IDCJAC0010,040913,2023,01,12,28.8,1,N
IDCJAC0010,040913,2023,01,13,29.1,1,N
IDCJAC0010,040913,2023,01,14,26.4,1,N
IDCJAC0010,040913,2023,01,15,28.1,1,N
IDCJAC0010,040913,2023,01,16,27.6,1,N
IDCJAC0010,040913,2023,01,17,28.7,1,N
IDCJAC0010,040913,2023,01,18,28.8,1,N
IDCJAC0010,040913,2023,01,19,29.6,1,N
IDCJAC0010,040913,2023,01,20,28.5,1,N
IDCJAC0010,040913,2023,01,21,29.2,1,N
IDCJAC0010,040913,2023,01,22,29.1,1,N
IDCJAC0010,040913,2023,01,23,30.2,1,N
IDCJAC0010,040913,2023,01,24,31.1,1,N
IDCJAC0010,040913,2023,01,25,31.3,1,N
IDCJAC0010,040913,2023,01,26,33.1,1,N
IDCJAC0010,040913,2023,01,27,33.4,1,Y
IDCJAC0010,040913,2023,01,28,32.9,1,N
IDCJAC0010,040913,2023,01,29,32.1,1,N
IDCJAC0010,040913,2023,01,30,32.3,1,N
IDCJAC0010,040913,2023,01,31,34.4,1,N
IDCJAC0010,040913,2023,02,01,34.8,1,Y
IDCJAC0010,040913,2023,02,02,32.3,1,Y
IDCJAC0010,040913,2023,02,03,35.4,1,Y
IDCJAC0010,040913,2023,02,04,31.4,1,Y
IDCJAC0010,040913,2023,02,05,32.4,1,Y
IDCJAC0010,040913,2023,02,06,31.1,1,Y
IDCJAC0010,040913,2023,02,07,29.7,1,Y
IDCJAC0010,040913,2023,02,08,30.5,1,Y
IDCJAC0010,040913,2023,02,09,28.8,1,Y
IDCJAC0010,040913,2023,02,10,31.0,1,Y
IDCJAC0010,040913,2023,02,11,33.3,1,Y
IDCJAC0010,040913,2023,02,12,35.7,1,Y
IDCJAC0010,040913,2023,02,13,34.4,1,Y
IDCJAC0010,040913,2023,02,14,30.4,1,Y
IDCJAC0010,040913,2023,02,15,29.1,1,Y
IDCJAC0010,040913,2023,02,16,28.8,1,Y
IDCJAC0010,040913,2023,02,17,29.8,1,Y
IDCJAC0010,040913,2023,02,18,31.3,1,Y
IDCJAC0010,040913,2023,02,19,30.0,1,Y
IDCJAC0010,040913,2023,02,20,28.1,1,Y
IDCJAC0010,040913,2023,02,21,29.8,1,Y
IDCJAC0010,040913,2023,02,22,29.3,1,Y
IDCJAC0010,040913,2023,02,23,28.9,1,Y
IDCJAC0010,040913,2023,02,24,28.0,1,Y
IDCJAC0010,040913,2023,02,25,29.0,1,Y
IDCJAC0010,040913,2023,02,26,30.5,1,Y
IDCJAC0010,040913,2023,02,27,31.1,1,Y
IDCJAC0010,040913,2023,02,28,30.9,1,Y
IDCJAC0010,040913,2023,03,01,31.2,1,N
IDCJAC0010,040913,2023,03,02,29.3,1,N
IDCJAC0010,040913,2023,03,03,30.7,1,N
