SETTLEMENTDATE,RRP,TOTALDEMAND,AVAILABILITY
2023-01-26 17:50:00,264.99,8843.07,7624.0
2023-01-26 17:55:00,15500.0,8839.52,7329.0
2023-01-26 18:00:00,295.01,8781.56,7372.0
2023-01-31 18:35:00,1249.87,9276.92,7796.0
2023-01-31 18:40:00,15500.0,9291.42,7796.0
2023-01-31 18:45:00,15500.0,9307.46,7796.0
2023-01-31 18:50:00,690.0,9282.85,7802.0
2023-03-01 18:10:00,349.01,8568.94,7870.0
2023-03-01 18:15:00,15003.26,8708.49,7876.0
2023-03-01 18:20:00,369.62003,8561.72,7889.0
2023-03-01 18:25:00,370.73008,8577.87,7891.0
2023-03-01 18:30:00,14999.5,8578.57,7895.0
2023-03-01 18:35:00,499.7,8612.91,7900.0
2023-03-16 17:40:00,499.7,9711.9,7969.0
2023-03-16 17:45:00,4089.22917,9673.68,7949.0
2023-03-16 17:50:00,355.13,9616.11,7974.0
2023-03-16 17:55:00,15500.0,9592.97,7874.0
2023-03-16 18:00:00,1215.99733,9600.2,7879.0
2023-03-16 18:05:00,15500.0,9558.45,7937.0
2023-03-16 18:10:00,15500.0,9481.64,7947.0
2023-03-16 18:15:00,3569.17985,9574.77,7942.0
2023-03-16 18:20:00,15500.0,9508.44,7942.0
2023-03-16 18:25:00,15500.0,9588.88,7942.0
2023-03-16 18:30:00,398.9901,9570.24,7942.0
2023-03-16 18:35:00,15500.0,9666.05,7942.0
2023-03-16 18:40:00,355.13,9649.09,7942.0
2023-03-16 18:45:00,9999.3,9610.41,7952.0
2023-03-16 18:50:00,9796.96,9557.96,7952.0
2023-03-16 18:55:00,369.62003,9548.47,7967.0
2023-03-17 17:40:00,564.30002,9956.22,7867.0
2023-03-17 17:45:00,14500.0,9892.41,7872.0
2023-03-17 17:50:00,14500.0,9860.39,7894.0
2023-03-17 17:55:00,370.73014,9756.66,7924.0
2023-03-17 18:00:00,12111.98,9745.46,7947.0
2023-03-17 18:05:00,192.49,9551.49,7954.0
2023-03-19 17:40:00,295.01,8554.96,8074.0
2023-03-19 17:45:00,13500.02,8563.18,8088.0
2023-03-19 17:50:00,355.12,8515.38,8094.0
2023-03-28 18:10:00,651.39028,8761.95,7505.0
2023-03-28 18:15:00,2600.0,8869.37,7505.0
2023-03-28 18:20:00,1302.01,8844.09,7505.0
2023-03-28 18:35:00,1302.01,8917.7,7505.0
2023-03-28 18:40:00,2600.0,8946.59,7505.0
2023-03-28 18:45:00,1245.65,8871.76,7498.0
2023-04-12 17:55:00,1500.0,7560.25,6630.0
2023-04-12 18:00:00,14950.01,7615.44,6630.0
2023-04-12 18:05:00,370.73032,7570.51,6634.0
2023-05-17 17:35:00,1249.87001,7635.1,7542.0
2023-05-17 17:40:00,14930.01,7671.76,7542.0
2023-05-17 17:45:00,370.73012,7535.35,7551.0
2023-05-20 17:25:00,370.73012,7056.42,7278.0
2023-05-20 17:30:00,14930.01,7204.97,7278.0
2023-05-20 17:35:00,1280.46718,7178.58,7287.0
2023-05-24 17:25:00,370.73016,7512.34,7703.0
2023-05-24 17:30:00,12033.52,7631.28,7703.0
2023-05-24 17:35:00,12000.53,7684.59,7707.0
2023-05-24 17:40:00,11565.11066,7685.29,7707.0
2023-05-24 17:45:00,292.53,7726.97,7712.0
2023-05-24 17:50:00,11510.15468,7760.92,7712.0
2023-05-24 17:55:00,1249.87,7751.38,7712.0
2023-05-24 18:00:00,11512.32821,7721.1,7712.0
2023-05-24 18:05:00,377.15288,7689.3,7716.0
2023-05-24 18:15:00,348.88,7757.96,7718.0
2023-05-24 18:20:00,11200.0,7655.82,7718.0
2023-05-24 18:25:00,12162.73556,7742.51,7718.0
2023-05-24 18:30:00,11435.59373,7723.16,7718.0
2023-05-24 18:35:00,1180.01,7667.06,7719.0
2023-05-25 06:50:00,619.0,7162.33,6546.0
2023-05-25 06:55:00,14500.0,7227.72,6546.0
2023-05-25 07:00:00,413.85015,7198.6,6546.0
2023-05-25 17:30:00,1249.87001,7503.01,7417.0
2023-05-25 17:35:00,2123.64,7502.27,7420.0
2023-05-25 17:40:00,12121.53,7557.52,7416.0
2023-05-25 17:45:00,12195.04,7624.95,7418.0
2023-05-25 17:50:00,12113.66,7594.19,7418.0
2023-05-25 17:55:00,555.48934,7583.16,7426.0
2023-05-27 17:20:00,382.33505,7081.51,7323.0
2023-05-27 17:25:00,14028.16675,7196.06,7323.0
2023-05-27 17:30:00,287.98,7119.78,7323.0
2023-05-30 17:20:00,1181.41042,7543.42,6901.0
2023-05-30 17:25:00,14018.96595,7703.25,6903.0
2023-05-30 17:30:00,14930.01,7763.77,6903.0
2023-05-30 17:35:00,14930.01,7810.36,6942.0
2023-05-30 17:40:00,518.37,7801.66,6942.0
2023-05-30 17:45:00,2258.32966,7817.25,6942.0
2023-05-30 17:50:00,518.37,7871.95,6942.0
2023-05-30 17:55:00,14420.59623,7932.21,6987.0
2023-05-30 18:00:00,518.37,7886.43,6990.0
2023-05-30 18:10:00,518.37,7869.4,7074.0
2023-05-30 18:15:00,14420.59623,8015.23,7074.0
2023-05-30 18:20:00,376.72004,7945.31,7029.0
2023-06-12 17:05:00,555.0,7389.42,6564.0
2023-06-12 17:10:00,11639.50262,7470.52,6566.0
2023-06-12 17:15:00,2304.12453,7499.62,6476.0
2023-06-12 17:20:00,14930.01,7677.41,6476.0
2023-06-12 17:25:00,619.0,7680.1,6596.0
2023-06-12 17:35:00,619.0,7771.85,6613.0
2023-06-12 17:40:00,3670.15384,7808.12,6613.0
2023-06-12 17:45:00,2762.26024,7798.42,6613.0
2023-06-12 17:50:00,14930.01,7891.94,6613.0
2023-06-12 17:55:00,619.0,7856.0,6613.0
2023-06-19 06:45:00,251.60581,7046.71,7166.0
2023-06-19 06:50:00,15500.0,7214.37,7166.0
2023-06-19 06:55:00,194.01,7090.73,7166.0
2023-06-19 17:20:00,266.12,7601.12,7498.0
2023-06-19 17:25:00,14140.8671,7764.56,7498.0
2023-06-19 17:30:00,266.12,7703.94,7498.0
2023-06-21 17:55:00,1297.01,8086.45,7750.0
2023-06-21 18:00:00,14219.28193,8125.78,7754.0
2023-06-21 18:05:00,1245.64,8108.29,7759.0
